section;stage;animateur.euses;début;fin;Frais pédagogiques - pension complète;Chambre individuelle;Espace camping;Tarif réduit (étudiants, chômeurs);
Stages été 2027;Chant et Musique Arabe ;Amine Soufari et Vincent Cladère ;12/07/2027;18/07/2027;730;60;-30;650;
;Accordéon diatonique;Martin Coudroy;19/07/2027;25/07/2027;730;60;-30;650;
;Accordéon diatonique;Marco Lucien;19/07/2027;25/07/2027;730;60;-30;650;
;Flute;Coline Flute;19/07/2027;25/07/2027;730;60;-30;650;
;Musique d’ensemble, répertoire espagnol;Pedro Almodovar;02/08/2027;08/08/2027;730;60;-30;650;
;Harpe celtique;Camille Heim;02/08/2027;08/08/2027;730;60;-30;650;
;Accordéon diatonique et improvisation;Cédric Pierini;02/08/2027;08/08/2027;730;60;-30;650;
;Accordéon chromatique;Maryll Abbas;09/08/2027;15/08/2027;730;60;-30;650;
;Musique;J.S. Bach;09/08/2027;15/08/2027;800;60;-30;650;
;Musique d'ensemble des payse l’est, Klezmer et Tzigane;Alexei Birioukov;16/08/2027;22/08/2027;730;60;-30;650;
;Chant slave et Tzigane;Galina Birioukova;16/08/2027;22/08/2027;730;60;-30;650;
Stages personnalisés;;Valérie Aubard;22/02/2026;28/02/2028;750;;;700;
;;Valérie Aubard;12/04/2027;18/04/2027;750;;;700;
;;François Heim et Amélie Denarié;19/04/2027;25/04/2027;750;;;700;
;;Marie Constant;07/06/2027;13/06/2027;750;;;700;
Stages à thème;;Anne Niepold;01/03/2027;07/03/2027;750;;;660;
;;Marius Pibarot;02/04/2027;06/04/2027;730;;;650;
;;Benjamin Macke;03/05/2027;09/05/2027;730;;;650;
Stages sans thème;;Claire Bretin;09/04/2027;15/04/2027;730;;;650;
;;Vincent Peirani;12/05/2027;19/05/2027;1200;;;900;
